iter	Passed	Remaining
0	0	53
1	0	48
2	1	46
3	2	49
4	3	61
5	4	67
6	5	71
7	6	74
8	7	79
9	8	79
10	10	80
11	11	82
12	12	82
13	13	82
14	14	82
15	15	80
16	16	80
17	17	80
18	18	80
19	19	79
20	20	78
21	21	77
22	22	76
23	24	76
24	25	76
25	26	75
26	27	74
27	28	74
28	30	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	66
37	40	65
38	41	64
39	42	63
40	43	62
41	44	60
42	45	59
43	46	59
44	47	58
45	48	57
46	49	56
47	50	55
48	52	54
49	53	53
50	55	53
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	61	46
57	63	45
58	64	44
59	65	43
60	66	42
61	68	41
62	69	40
63	70	39
64	71	38
65	73	37
66	75	36
67	75	35
68	77	34
69	78	33
70	80	32
71	81	31
72	83	30
73	84	29
74	86	28
75	87	27
76	88	26
77	90	25
78	92	24
79	93	23
80	95	22
81	96	21
82	98	20
83	99	18
84	101	17
85	102	16
86	103	15
87	105	14
88	106	13
89	108	12
90	109	10
91	111	9
92	113	8
93	114	7
94	116	6
95	118	4
96	119	3
97	121	2
98	122	1
99	124	0
