iter	RMSE
0	14.62255359
1	14.26186017
2	13.91681999
3	13.56913497
4	13.25452723
5	12.95387595
6	12.66296245
7	12.40339537
8	12.14815896
9	11.87088551
10	11.58808903
11	11.35578812
12	11.14417467
13	10.91469633
14	10.68130845
15	10.44973613
16	10.22158034
17	10.02428529
18	9.821634638
19	9.635489811
20	9.472734772
21	9.31563128
22	9.161266738
23	9.006643621
24	8.848560415
25	8.713520348
26	8.568262873
27	8.462033458
28	8.335875447
29	8.22492593
30	8.117415744
31	7.985382758
32	7.867606315
33	7.765389532
34	7.655291086
35	7.558593774
36	7.465235246
37	7.382928019
38	7.2926551
39	7.212147744
40	7.130227684
41	7.065708953
42	6.991496846
43	6.930271141
44	6.861743088
45	6.800390501
46	6.729697846
47	6.670703435
48	6.610767838
49	6.557355974
50	6.503166553
51	6.443750346
52	6.392294046
53	6.345135744
54	6.294886965
55	6.249978905
56	6.21189116
57	6.174461078
58	6.136231597
59	6.102296169
60	6.06561555
61	6.030937204
62	5.999523724
63	5.964802259
64	5.934414523
65	5.906827588
66	5.876609177
67	5.846327783
68	5.823463737
69	5.802125259
70	5.775761633
71	5.751945266
72	5.730212117
73	5.7086203
74	5.686624484
75	5.667564285
76	5.647148436
77	5.627805244
78	5.608168698
79	5.592204162
80	5.575181996
81	5.557873535
82	5.540599842
83	5.525056282
84	5.511338244
85	5.494263545
86	5.480392056
87	5.468555903
88	5.454708878
89	5.440863046
90	5.426274523
91	5.412983081
92	5.392671779
93	5.381096301
94	5.370596994
95	5.361388033
96	5.350827757
97	5.342180548
98	5.327973759
99	5.317350168
100	5.30455228
101	5.294778463
102	5.285374842
103	5.274338943
104	5.26140359
105	5.256303931
106	5.245536842
107	5.235522225
108	5.225276236
109	5.215408604
110	5.207513256
111	5.199305284
112	5.193558601
113	5.181783863
114	5.174789824
115	5.166134082
116	5.15911422
117	5.153337722
118	5.144303031
119	5.139234545
120	5.136550197
121	5.128999956
122	5.11902873
123	5.111436449
124	5.103196852
125	5.097991053
126	5.09300603
127	5.085403328
128	5.07868191
129	5.070921527
130	5.066644317
131	5.063909563
132	5.05548051
133	5.049321205
134	5.043873132
135	5.038187336
136	5.031144656
137	5.02513638
138	5.020597247
139	5.01671328
140	5.011730914
141	5.006609587
142	5.001521853
143	4.994139946
144	4.988788344
145	4.984421335
146	4.979421582
147	4.972827189
148	4.967403207
149	4.964386807
150	4.960882305
151	4.956757379
152	4.950319131
153	4.946834805
154	4.941264175
155	4.935025544
156	4.931195996
157	4.926119947
158	4.92032323
159	4.915276939
160	4.911347601
161	4.907503199
162	4.903929532
163	4.900730487
164	4.895916135
165	4.892969778
166	4.88998702
167	4.887265411
168	4.884915861
169	4.87848808
170	4.873015582
171	4.869091279
172	4.862705587
173	4.857031941
174	4.851342844
175	4.845023896
176	4.841528547
177	4.840199285
178	4.831097534
179	4.825710584
180	4.822876379
181	4.818852266
182	4.81419135
183	4.80972722
184	4.80505475
185	4.801116114
186	4.796796924
187	4.793590203
188	4.786887862
189	4.781400172
190	4.778499098
191	4.775912487
192	4.768931041
193	4.762500445
194	4.758668115
195	4.753906062
196	4.750434325
197	4.747504755
198	4.739884165
199	4.736600479
200	4.732076928
201	4.728632659
202	4.726491226
203	4.721843364
204	4.71699499
205	4.714582571
206	4.709732624
207	4.707389854
208	4.702920444
209	4.700637712
210	4.699262382
211	4.695052976
212	4.692077577
213	4.688671418
214	4.683692384
215	4.681548631
216	4.678665319
217	4.674959007
218	4.672114114
219	4.665823432
220	4.663299487
221	4.661438765
222	4.659187205
223	4.650682269
224	4.646771955
225	4.644327638
226	4.64093055
227	4.639402188
228	4.635129416
229	4.629158415
230	4.625815231
231	4.621673698
232	4.615045649
233	4.611845405
234	4.607356536
235	4.604135116
236	4.602015264
237	4.597698165
238	4.593581078
239	4.592578015
240	4.587031766
241	4.582578172
242	4.580557323
243	4.576065648
244	4.571469717
245	4.569736781
246	4.567858897
247	4.561538132
248	4.559298264
249	4.556301682
250	4.553436634
251	4.548422903
252	4.544658588
253	4.539237826
254	4.535373451
255	4.533772623
256	4.52805054
257	4.525088599
258	4.520258697
259	4.514580327
260	4.513007192
261	4.509685782
262	4.505950344
263	4.501298078
264	4.498793239
265	4.495218173
266	4.491347653
267	4.488643769
268	4.480553054
269	4.476589938
270	4.472526725
271	4.469822344
272	4.468385026
273	4.463112667
274	4.462040185
275	4.457926742
276	4.453050298
277	4.448051898
278	4.444755507
279	4.441462529
280	4.436472437
281	4.435514032
282	4.427263076
283	4.426887936
284	4.423501253
285	4.418743935
286	4.414691308
287	4.411638976
288	4.411253496
289	4.407150516
290	4.403197594
291	4.39874761
292	4.390658853
293	4.386819938
294	4.381226265
295	4.375892728
296	4.374349496
297	4.371347883
298	4.365706424
299	4.361107226
300	4.360660845
301	4.354475675
302	4.349807031
303	4.343059776
304	4.336326202
305	4.329560044
306	4.326385489
307	4.321016631
308	4.319753177
309	4.314834928
310	4.3109332
311	4.305490009
312	4.2995566
313	4.294075899
314	4.290730993
315	4.28666048
316	4.284783514
317	4.281724355
318	4.276009968
319	4.271652696
320	4.271318514
321	4.27095341
322	4.263800133
323	4.260122025
324	4.256084751
325	4.255152176
326	4.25133716
327	4.245992935
328	4.242400253
329	4.236531689
330	4.233445987
331	4.228904269
332	4.224491076
333	4.222785643
334	4.217825874
335	4.213980016
336	4.210419007
337	4.207471932
338	4.207138948
339	4.204281326
340	4.202871173
341	4.199322919
342	4.193237146
343	4.190408445
344	4.186778318
345	4.186574705
346	4.18385974
347	4.178128849
348	4.174903298
349	4.172627926
350	4.17103324
351	4.168860898
352	4.168626645
353	4.164156654
354	4.161277528
355	4.156512092
356	4.153958334
357	4.149094706
358	4.147944727
359	4.147618141
360	4.145771608
361	4.145581334
362	4.142233412
363	4.136752708
364	4.132795342
365	4.131421786
366	4.12883902
367	4.125427607
368	4.121589393
369	4.117553065
370	4.115037873
371	4.109043223
372	4.104149107
373	4.102105514
374	4.096140774
375	4.095826483
376	4.092152689
377	4.088602498
378	4.084614247
379	4.081527397
380	4.079697264
381	4.074738076
382	4.069868828
383	4.065066629
384	4.062792365
385	4.058635718
386	4.055906676
387	4.052859739
388	4.048722807
389	4.043943901
390	4.040080907
391	4.038240328
392	4.03374097
393	4.033445174
394	4.032354775
395	4.028621586
396	4.024561468
397	4.022580355
398	4.022401273
399	4.020244794
400	4.017637979
401	4.016605082
402	4.014994786
403	4.014706678
404	4.012622267
405	4.00813316
406	4.007861827
407	4.007684927
408	4.007505054
409	4.004238157
410	4.002129292
411	3.996326648
412	3.996083759
413	3.993637626
414	3.990866095
415	3.988499147
416	3.984108807
417	3.980233332
418	3.977726121
419	3.975497585
420	3.972922923
421	3.968558449
422	3.967180372
423	3.96692225
424	3.961847125
425	3.961703603
426	3.961489313
427	3.960549236
428	3.960384145
429	3.959300132
430	3.957745304
431	3.95488406
432	3.950171859
433	3.946908376
434	3.941539654
435	3.938601096
436	3.93401725
437	3.932889605
438	3.928567764
439	3.922851777
440	3.922699907
441	3.918187764
442	3.918039353
443	3.917176768
444	3.916319381
445	3.916123727
446	3.914175141
447	3.909058092
448	3.907378776
449	3.907295427
450	3.906123635
451	3.905364499
452	3.90431348
453	3.902849751
454	3.902627172
455	3.899435458
456	3.895112638
457	3.894316389
458	3.890049336
459	3.884748386
460	3.879747808
461	3.878091368
462	3.872863767
463	3.869168451
464	3.865535084
465	3.861688565
466	3.85735359
467	3.854116996
468	3.850340513
469	3.846362414
470	3.845411429
471	3.844041663
472	3.839185533
473	3.836461242
474	3.83381136
475	3.833677323
476	3.831533433
477	3.828050645
478	3.823162869
479	3.819113776
480	3.815845403
481	3.813475033
482	3.810675637
483	3.810536644
484	3.808214717
485	3.806228873
486	3.803193605
487	3.799739354
488	3.796842158
489	3.790768368
490	3.789482347
491	3.786424829
492	3.785622025
493	3.784265049
494	3.782935968
495	3.780214953
496	3.776658189
497	3.773625966
498	3.770938584
499	3.767248741
500	3.763949897
501	3.761840223
502	3.759420921
503	3.755856204
504	3.755668094
505	3.752202035
506	3.751203386
507	3.751048249
508	3.750827554
509	3.749825798
510	3.746398726
511	3.743418626
512	3.740871523
513	3.738204836
514	3.735603599
515	3.732318558
516	3.727147675
517	3.723235775
518	3.721025827
519	3.719110973
520	3.718403606
521	3.715717638
522	3.715029538
523	3.710880037
524	3.708546461
525	3.70759883
526	3.705779494
527	3.705131107
528	3.704048573
529	3.702309365
530	3.697253671
531	3.695150919
532	3.691772304
533	3.688615047
534	3.685021223
535	3.680193643
536	3.67991686
537	3.677630255
538	3.677492242
539	3.675465939
540	3.672637774
541	3.67046717
542	3.666975669
543	3.665925187
544	3.664494425
545	3.663622337
546	3.659666795
