iter	Passed	Remaining
0	0	496
1	0	447
2	1	417
3	1	401
4	1	393
5	2	397
6	2	406
7	3	398
8	3	391
9	3	393
10	4	389
11	4	386
12	5	397
13	5	404
14	6	403
15	6	401
16	6	400
17	7	404
18	7	411
19	8	411
20	8	410
21	9	409
22	9	411
23	10	409
24	10	407
25	10	406
26	11	408
27	11	407
28	12	405
29	12	403
30	12	400
31	13	398
32	13	397
33	14	398
34	14	398
35	14	397
36	15	395
37	15	393
38	15	393
39	16	391
40	16	392
41	17	391
42	17	391
43	17	389
44	18	387
45	18	388
46	19	387
47	19	385
48	19	385
49	20	384
50	20	390
51	21	392
52	23	415
53	23	414
54	24	416
55	24	414
56	25	413
57	25	415
58	26	415
59	26	413
60	26	412
61	27	410
62	27	410
63	27	409
64	28	409
65	28	408
66	29	407
67	29	405
68	30	405
69	30	402
70	30	402
71	31	401
72	31	401
73	31	400
74	32	399
75	32	400
76	33	400
77	33	401
78	34	400
79	34	399
80	35	397
81	35	398
82	36	398
83	36	397
84	37	398
85	37	398
86	38	400
87	38	399
88	39	399
89	39	400
90	39	398
91	40	397
92	40	396
93	41	395
94	41	394
95	42	397
96	42	400
97	43	398
98	43	397
99	44	398
100	44	399
101	45	398
102	45	397
103	46	396
104	46	396
105	46	395
106	47	393
107	47	393
108	48	392
109	48	391
110	48	391
111	49	390
112	49	390
113	50	388
114	50	388
115	50	388
116	51	387
117	52	388
118	52	390
119	53	390
120	53	388
121	54	395
122	55	394
123	55	394
124	56	394
125	56	393
126	57	394
127	57	393
128	58	392
129	58	391
130	58	390
131	59	389
132	59	388
133	60	388
134	60	387
135	60	387
136	61	386
137	61	385
138	62	384
139	62	383
140	63	384
141	63	383
142	63	383
143	64	382
144	64	381
145	65	380
146	65	381
147	66	381
148	66	380
149	67	382
150	68	382
151	68	382
152	69	382
153	69	382
154	70	383
155	70	383
156	71	382
157	71	381
158	72	381
159	72	380
160	73	380
161	73	380
162	73	379
163	74	379
164	74	379
165	75	379
166	75	378
167	76	378
168	76	377
169	77	377
170	77	376
171	78	375
172	78	375
173	78	374
174	79	374
175	79	373
176	80	372
177	80	371
178	80	370
179	81	370
180	82	371
181	82	371
182	83	370
183	83	370
184	84	370
185	84	370
186	84	369
187	85	368
188	86	370
189	86	369
190	87	369
191	88	370
192	88	370
193	89	370
194	89	370
195	90	369
196	90	369
197	91	369
198	91	368
199	91	367
200	92	367
201	92	366
202	93	366
203	93	365
204	94	364
205	94	364
206	94	363
207	95	362
208	95	363
209	96	362
210	97	363
211	97	362
212	98	362
213	98	361
214	99	361
215	99	361
216	100	360
217	100	360
218	101	360
219	101	360
220	102	360
221	102	360
222	103	359
223	103	359
224	104	358
225	104	358
226	105	358
227	105	357
228	106	356
229	106	356
230	106	356
231	107	355
232	107	355
233	108	355
234	108	354
235	109	354
236	110	354
237	110	354
238	111	355
239	112	355
240	112	355
241	113	354
242	113	354
243	114	353
244	114	353
245	115	352
246	115	352
247	116	352
248	116	352
249	117	351
250	117	351
251	118	351
252	118	351
253	119	350
254	119	350
255	120	349
256	120	349
257	121	348
258	121	348
259	122	347
260	122	347
261	123	346
262	123	346
263	124	348
264	125	347
265	125	347
266	126	346
267	127	347
268	127	347
269	128	347
270	128	346
271	129	347
272	130	348
273	131	347
274	131	347
275	132	346
276	132	346
277	133	345
278	133	345
279	134	344
280	134	344
281	135	343
282	135	343
283	136	343
284	136	342
285	137	342
286	137	341
287	138	341
288	138	340
289	139	340
290	139	340
291	140	340
